scholarship_id,name,eligible_nationalities,min_age,max_age,eligible_degree_levels,eligible_high_school_tracks,eligible_fields,preferred_school_tier,min_report_card_average,min_major_subject_average,language_requirements,requires_financial_need,max_family_income_category,host_country,host_region,selection_criteria,career_track_preference,requires_return_home_country,mission_statement,target_recipient_profile,funding_covers_tuition,funding_covers_living,funding_covers_airfare,funding_covers_insurance,funding_monthly_stipend,funding_is_full_funding,funding_coverage_count
SCH_000010,New Zealand Engineering Scholarship,"[""argentina"", ""canada"", ""egypt"", ""germany""]",16,20,"[""high_school"", ""bachelors""]","[""vocational"", ""science""]","[""engineering"", ""medicine"", ""education""]",excellence,69.7,64.5,"[{""test_type"": ""toefl"", ""min_score"": 104.9, ""is_mandatory"": false}]",False,upper_middle,new_zealand,oceania,"{""academic"": 0.3016, ""leadership"": 0.1111, ""olympiad"": 0.3095, ""extracurricular"": 0.119, ""essay"": 0.1587}",,False,We seek to support outstanding students in engineering who demonstrate commitment to knowledge advancement.,We are looking for candidates with strong academic records and proven research experience.,False,False,False,False,1155.31,False,0
SCH_000011,Brazil Medicine Scholarship,"[""new_zealand"", ""south_korea"", ""usa"", ""france"", ""brazil"", ""vietnam"", ""singapore""]",16,20,"[""high_school"", ""bachelors""]","[""vocational""]","[""medicine"", ""social_sciences"", ""chemistry""]",public_a,79.5,59.4,"[{""test_type"": ""ielts"", ""min_score"": 7.7, ""is_mandatory"": true}]",False,low,brazil,south_america,"{""academic"": 0.3689, ""leadership"": 0.1359, ""olympiad"": 0.1165, ""extracurricular"": 0.1553, ""essay"": 0.2233}",government,False,Our mission is to empower talented individuals from South_america pursuing excellence in medicine.,Ideal candidates demonstrate excellence in medicine and commitment to technological advancement.,True,True,False,False,544.81,True,2
SCH_000012,New Zealand Biology Scholarship,"[""morocco"", ""egypt"", ""france"", ""vietnam"", ""singapore""]",15,18,"[""high_school"", ""bachelors""]","[""science"", ""languages""]","[""biology"", ""medicine"", ""mathematics"", ""economics""]",private_a,72.2,51.9,"[{""test_type"": ""toefl"", ""min_score"": 99.4, ""is_mandatory"": true}]",False,low,new_zealand,oceania,"{""academic"": 0.3534, ""leadership"": 0.181, ""olympiad"": 0.2759, ""extracurricular"": 0.1207, ""essay"": 0.069}",,True,We seek to support outstanding students in biology who demonstrate commitment to knowledge advancement.,We are looking for candidates with strong academic records and proven leadership experience.,True,True,False,False,503.82,True,2
SCH_000013,South Korea Education Scholarship,"[""new_zealand"", ""thailand"", ""indonesia"", ""kenya"", ""france""]",15,18,"[""high_school""]","[""religion"", ""vocational""]","[""education"", ""agriculture"", ""economics"", ""law""]",private_a,59.1,67.5,"[{""test_type"": ""ielts"", ""min_score"": 7.0, ""is_mandatory"": false}]",True,low,south_korea,asia,"{""academic"": 0.3556, ""leadership"": 0.1259, ""olympiad"": 0.2074, ""extracurricular"": 0.163, ""essay"": 0.1481}",,False,We seek to support outstanding students in education who demonstrate commitment to innovation.,Ideal candidates demonstrate excellence in education and commitment to community service.,False,False,False,False,1113.64,False,0
SCH_000014,Switzerland Economics Scholarship,"[""chile"", ""china"", ""australia"", ""canada""]",15,19,"[""high_school"", ""bachelors""]","[""science"", ""social_studies""]","[""economics"", ""chemistry""]",public_a,57.4,63.4,"[{""test_type"": ""toefl"", ""min_score"": 99.1, ""is_mandatory"": false}]",False,low,switzerland,europe,"{""academic"": 0.2481, ""leadership"": 0.1429, ""olympiad"": 0.2632, ""extracurricular"": 0.218, ""essay"": 0.1278}",,False,This scholarship aims to nurture future leaders in economics with a passion for genomic research.,We value students who show leadership potential and dedication to genomic research.,True,False,True,True,64.46,False,3
SCH_000015,Canada Education Scholarship,"[""japan"", ""chile"", ""canada"", ""kenya""]",17,21,"[""high_school"", ""bachelors""]","[""social_studies"", ""religion""]","[""education"", ""medicine""]",private_a,75.1,61.8,"[{""test_type"": ""toefl"", ""min_score"": 83.8, ""is_mandatory"": false}]",False,very_low,canada,north_america,"{""academic"": 0.3382, ""leadership"": 0.1324, ""olympiad"": 0.1765, ""extracurricular"": 0.1912, ""essay"": 0.1618}",academic,False,We seek to support outstanding students in education who demonstrate commitment to innovation.,We are looking for candidates with strong academic records and proven research experience.,True,True,True,True,1831.56,True,4
SCH_000016,Netherlands Computer Science Scholarship,"[""sweden"", ""netherlands"", ""germany""]",16,20,"[""high_school""]","[""science""]","[""computer_science"", ""social_sciences"", ""law""]",excellence,81.2,62.3,"[{""test_type"": ""toefl"", ""min_score"": 87.4, ""is_mandatory"": true}]",False,middle,netherlands,europe,"{""academic"": 0.3333, ""leadership"": 0.1159, ""olympiad"": 0.2246, ""extracurricular"": 0.1232, ""essay"": 0.2029}",,False,This scholarship aims to nurture future leaders in computer_science with a passion for human-computer interaction.,Ideal candidates demonstrate excellence in computer_science and commitment to technological advancement.,True,True,True,False,1996.32,True,3
SCH_000017,Chile Social Sciences Scholarship,"[""indonesia"", ""vietnam"", ""singapore"", ""canada"", ""switzerland""]",15,18,"[""high_school""]","[""vocational""]","[""social_sciences"", ""physics"", ""computer_science"", ""economics""]",public_a,78.2,60.0,[],True,middle,chile,south_america,"{""academic"": 0.2519, ""leadership"": 0.1778, ""olympiad"": 0.2519, ""extracurricular"": 0.2148, ""essay"": 0.1037}",,False,We seek to support outstanding students in social_sciences who demonstrate commitment to knowledge advancement.,Ideal candidates demonstrate excellence in social_sciences and commitment to community service.,True,True,True,False,1838.22,True,3
SCH_000018,Usa Law Scholarship,"[""sweden"", ""netherlands"", ""usa"", ""switzerland"", ""malaysia"", ""japan"", ""south_korea""]",17,22,"[""high_school"", ""bachelors""]","[""religion"", ""languages""]","[""law""]",public_a,60.3,51.8,"[{""test_type"": ""toefl"", ""min_score"": 81.6, ""is_mandatory"": false}]",False,very_low,usa,north_america,"{""academic"": 0.3762, ""leadership"": 0.1386, ""olympiad"": 0.1584, ""extracurricular"": 0.1386, ""essay"": 0.1881}",academic,False,This scholarship aims to nurture future leaders in law with a passion for education reform.,We are looking for candidates with strong academic records and proven research experience.,True,False,True,False,1397.64,False,2
SCH_000019,Egypt Agriculture Scholarship,"[""indonesia"", ""philippines"", ""netherlands"", ""singapore"", ""south_korea"", ""argentina""]",15,19,"[""high_school"", ""bachelors""]","[""religion"", ""languages""]","[""agriculture"", ""physics"", ""law"", ""arts_humanities""]",accredited_b,68.8,73.4,"[{""test_type"": ""hsk"", ""min_score"": 60, ""is_mandatory"": false}]",False,middle,egypt,africa,"{""academic"": 0.1802, ""leadership"": 0.2252, ""olympiad"": 0.2162, ""extracurricular"": 0.2523, ""essay"": 0.1261}",,False,Our mission is to empower talented individuals from Africa pursuing excellence in agriculture.,We value students who show leadership potential and dedication to education reform.,False,True,True,False,1442.92,False,2
SCH_000020,France Engineering Scholarship,"[""new_zealand"", ""philippines""]",15,18,"[""high_school"", ""bachelors""]","[""vocational""]","[""engineering"", ""economics"", ""education""]",excellence,58.2,78.9,"[{""test_type"": ""toefl"", ""min_score"": 99.8, ""is_mandatory"": true}]",False,middle,france,europe,"{""academic"": 0.3485, ""leadership"": 0.1288, ""olympiad"": 0.1667, ""extracurricular"": 0.1667, ""essay"": 0.1894}",,False,This scholarship aims to nurture future leaders in engineering with a passion for human-computer interaction.,We are looking for candidates with strong academic records and proven leadership experience.,True,True,False,False,881.15,True,2
SCH_000021,Usa Engineering Scholarship,"[""germany"", ""thailand"", ""usa"", ""philippines""]",17,20,"[""high_school"", ""bachelors""]","[""languages""]","[""engineering"", ""chemistry"", ""arts_humanities""]",private_a,81.5,55.0,[],False,low,usa,north_america,"{""academic"": 0.368, ""leadership"": 0.08, ""olympiad"": 0.264, ""extracurricular"": 0.128, ""essay"": 0.16}",,False,We seek to support outstanding students in engineering who demonstrate commitment to knowledge advancement.,Ideal candidates demonstrate excellence in engineering and commitment to technological advancement.,False,True,False,False,1239.66,False,1
SCH_000022,Switzerland Chemistry Scholarship,"[""malaysia"", ""switzerland"", ""usa"", ""chile"", ""japan"", ""south_korea""]",16,21,"[""high_school"", ""bachelors""]","[""science"", ""languages""]","[""chemistry"", ""engineering"", ""medicine""]",accredited_b,71.9,50.9,"[{""test_type"": ""toefl"", ""min_score"": 100.5, ""is_mandatory"": true}]",False,upper_middle,switzerland,europe,"{""academic"": 0.2353, ""leadership"": 0.2101, ""olympiad"": 0.2857, ""extracurricular"": 0.1597, ""essay"": 0.1092}",entrepreneurship,False,We seek to support outstanding students in chemistry who demonstrate commitment to societal impact.,Ideal candidates demonstrate excellence in chemistry and commitment to technological advancement.,True,True,False,False,1874.22,True,2
SCH_000023,New Zealand Economics Scholarship,"[""philippines"", ""japan"", ""nigeria"", ""morocco""]",17,22,"[""high_school"", ""bachelors""]","[""vocational""]","[""economics""]",accredited_b,77.3,69.5,"[{""test_type"": ""topik"", ""min_score"": 200, ""is_mandatory"": true}]",False,low,new_zealand,oceania,"{""academic"": 0.3768, ""leadership"": 0.1159, ""olympiad"": 0.2029, ""extracurricular"": 0.1449, ""essay"": 0.1594}",government,False,We seek to support outstanding students in economics who demonstrate commitment to knowledge advancement.,We are looking for candidates with strong academic records and proven research experience.,True,True,True,True,1058.58,True,4
SCH_000024,Usa Medicine Scholarship,"[""thailand"", ""uk"", ""japan"", ""south_korea"", ""sweden"", ""malaysia""]",16,21,"[""high_school""]","[""vocational""]","[""medicine"", ""law"", ""engineering"", ""social_sciences""]",public_a,55.8,62.2,"[{""test_type"": ""ielts"", ""min_score"": 6.3, ""is_mandatory"": true}]",True,middle,usa,north_america,"{""academic"": 0.3108, ""leadership"": 0.1014, ""olympiad"": 0.2162, ""extracurricular"": 0.1689, ""essay"": 0.2027}",,True,This scholarship aims to nurture future leaders in medicine with a passion for artificial intelligence.,Ideal candidates demonstrate excellence in medicine and commitment to community service.,True,True,False,False,1053.15,True,2
SCH_000025,China Engineering Scholarship,"[""indonesia"", ""brazil"", ""egypt"", ""south_korea"", ""australia""]",16,20,"[""high_school""]","[""religion"", ""science""]","[""engineering"", ""arts_humanities"", ""agriculture"", ""social_sciences""]",private_a,55.9,77.6,"[{""test_type"": ""toefl"", ""min_score"": 104.2, ""is_mandatory"": true}]",False,low,china,asia,"{""academic"": 0.3421, ""leadership"": 0.1667, ""olympiad"": 0.1491, ""extracurricular"": 0.2456, ""essay"": 0.0965}",entrepreneurship,False,This scholarship aims to nurture future leaders in engineering with a passion for public health policy.,Ideal candidates demonstrate excellence in engineering and commitment to technological advancement.,True,False,False,False,520.45,False,1
SCH_000026,Chile Law Scholarship,"[""australia"", ""morocco"", ""indonesia"", ""china"", ""chile""]",15,20,"[""high_school""]","[""languages"", ""religion""]","[""law"", ""medicine"", ""education"", ""social_sciences""]",private_a,59.8,71.5,"[{""test_type"": ""toefl"", ""min_score"": 94.2, ""is_mandatory"": false}]",False,low,chile,south_america,"{""academic"": 0.24, ""leadership"": 0.28, ""olympiad"": 0.2, ""extracurricular"": 0.13, ""essay"": 0.15}",ngo_npo,True,We seek to support outstanding students in law who demonstrate commitment to knowledge advancement.,We value students who show leadership potential and dedication to financial technology.,True,True,False,True,1165.81,True,3
SCH_000027,Canada Economics Scholarship,"[""sweden"", ""australia""]",16,19,"[""high_school""]","[""languages"", ""religion""]","[""economics"", ""education"", ""biology""]",private_a,80.1,79.2,"[{""test_type"": ""ielts"", ""min_score"": 6.8, ""is_mandatory"": true}]",False,middle,canada,north_america,"{""academic"": 0.4, ""leadership"": 0.1789, ""olympiad"": 0.1789, ""extracurricular"": 0.1579, ""essay"": 0.0842}",,False,This scholarship aims to nurture future leaders in economics with a passion for genomic research.,We value students who show leadership potential and dedication to genomic research.,True,True,False,False,1608.53,True,2
SCH_000028,Brazil Business Scholarship,"[""indonesia"", ""sweden"", ""argentina"", ""india"", ""south_korea"", ""thailand""]",17,20,"[""high_school"", ""bachelors""]","[""science"", ""vocational""]","[""business"", ""medicine"", ""agriculture"", ""arts_humanities""]",private_a,61.5,62.6,"[{""test_type"": ""ielts"", ""min_score"": 6.9, ""is_mandatory"": true}]",True,middle,brazil,south_america,"{""academic"": 0.2544, ""leadership"": 0.1316, ""olympiad"": 0.3333, ""extracurricular"": 0.2018, ""essay"": 0.0789}",industry,False,Our mission is to empower talented individuals from South_america pursuing excellence in business.,We are looking for candidates with strong academic records and proven research experience.,False,True,False,False,1030.07,False,1
SCH_000029,South Africa Education Scholarship,"[""indonesia"", ""kenya"", ""morocco"", ""germany"", ""brazil"", ""malaysia"", ""canada""]",17,22,"[""high_school""]","[""religion"", ""social_studies""]","[""education"", ""economics""]",public_a,71.3,50.8,"[{""test_type"": ""toefl"", ""min_score"": 100.2, ""is_mandatory"": false}]",False,very_low,south_africa,africa,"{""academic"": 0.2128, ""leadership"": 0.156, ""olympiad"": 0.2695, ""extracurricular"": 0.1702, ""essay"": 0.1915}",,False,This scholarship aims to nurture future leaders in education with a passion for public health policy.,Ideal candidates demonstrate excellence in education and commitment to community service.,True,True,False,False,1658.64,True,2
SCH_000030,Canada Medicine Scholarship,"[""south_africa"", ""chile"", ""argentina"", ""thailand"", ""nigeria"", ""morocco""]",16,19,"[""high_school""]","[""social_studies"", ""religion""]","[""medicine""]",public_a,84.3,63.7,"[{""test_type"": ""ielts"", ""min_score"": 7.5, ""is_mandatory"": true}]",False,low,canada,north_america,"{""academic"": 0.1756, ""leadership"": 0.2061, ""olympiad"": 0.2137, ""extracurricular"": 0.2137, ""essay"": 0.1908}",government,True,We seek to support outstanding students in medicine who demonstrate commitment to societal impact.,Ideal candidates demonstrate excellence in medicine and commitment to technological advancement.,True,True,True,True,216.35,True,4
SCH_000031,Argentina Law Scholarship,"[""nigeria"", ""south_korea""]",16,21,"[""high_school"", ""bachelors""]","[""social_studies"", ""languages""]","[""law"", ""mathematics""]",excellence,76.7,69.2,"[{""test_type"": ""ielts"", ""min_score"": 6.5, ""is_mandatory"": false}]",True,upper_middle,argentina,south_america,"{""academic"": 0.3305, ""leadership"": 0.0847, ""olympiad"": 0.2203, ""extracurricular"": 0.178, ""essay"": 0.1864}",,True,We seek to support outstanding students in law who demonstrate commitment to societal impact.,We value students who show leadership potential and dedication to artificial intelligence.,True,True,True,False,1543.5,True,3
SCH_000032,Usa Biology Scholarship,"[""argentina"", ""japan"", ""singapore"", ""thailand"", ""south_africa"", ""brazil"", ""egypt""]",16,20,"[""high_school"", ""bachelors""]","[""science"", ""vocational""]","[""biology"", ""social_sciences"", ""business""]",excellence,77.2,64.5,"[{""test_type"": ""jlpt"", ""min_score"": 40, ""is_mandatory"": true}]",True,low,usa,north_america,"{""academic"": 0.3084, ""leadership"": 0.1869, ""olympiad"": 0.1121, ""extracurricular"": 0.271, ""essay"": 0.1215}",academic,True,We seek to support outstanding students in biology who demonstrate commitment to innovation.,We are looking for candidates with strong academic records and proven leadership experience.,True,True,False,False,975.33,True,2
SCH_000033,Egypt Education Scholarship,"[""south_korea"", ""egypt"", ""chile"", ""netherlands"", ""germany"", ""argentina"", ""nigeria""]",15,19,"[""high_school"", ""bachelors""]","[""vocational"", ""science""]","[""education"", ""medicine""]",public_a,55.0,72.8,[],False,very_low,egypt,africa,"{""academic"": 0.3577, ""leadership"": 0.2195, ""olympiad"": 0.2439, ""extracurricular"": 0.1301, ""essay"": 0.0488}",,False,Our mission is to empower talented individuals from Africa pursuing excellence in education.,We value students who show leadership potential and dedication to climate change mitigation.,True,False,False,False,1047.61,False,1
SCH_000034,Usa Chemistry Scholarship,"[""usa"", ""sweden"", ""canada""]",16,19,"[""high_school"", ""bachelors""]","[""languages""]","[""chemistry"", ""biology""]",private_a,75.3,72.9,"[{""test_type"": ""ielts"", ""min_score"": 6.1, ""is_mandatory"": true}]",False,low,usa,north_america,"{""academic"": 0.3444, ""leadership"": 0.2, ""olympiad"": 0.2222, ""extracurricular"": 0.1111, ""essay"": 0.1222}",,True,This scholarship aims to nurture future leaders in chemistry with a passion for artificial intelligence.,We value students who show leadership potential and dedication to artificial intelligence.,True,False,False,False,1169.83,False,1
SCH_000035,Chile Mathematics Scholarship,"[""thailand"", ""singapore""]",17,22,"[""high_school""]","[""social_studies""]","[""mathematics"", ""agriculture"", ""economics"", ""education""]",private_a,80.7,64.9,"[{""test_type"": ""toefl"", ""min_score"": 81.0, ""is_mandatory"": false}]",False,very_low,chile,south_america,"{""academic"": 0.24, ""leadership"": 0.11, ""olympiad"": 0.27, ""extracurricular"": 0.3, ""essay"": 0.08}",ngo_npo,False,Our mission is to empower talented individuals from South_america pursuing excellence in mathematics.,We value students who show leadership potential and dedication to artificial intelligence.,False,True,False,False,527.87,False,1
SCH_000036,Netherlands Medicine Scholarship,"[""morocco"", ""switzerland"", ""usa"", ""chile""]",16,21,"[""high_school""]","[""religion"", ""vocational""]","[""medicine"", ""arts_humanities"", ""economics""]",excellence,59.9,56.0,"[{""test_type"": ""topik"", ""min_score"": 200, ""is_mandatory"": true}]",False,very_low,netherlands,europe,"{""academic"": 0.3209, ""leadership"": 0.2164, ""olympiad"": 0.1642, ""extracurricular"": 0.1642, ""essay"": 0.1343}",,False,We seek to support outstanding students in medicine who demonstrate commitment to societal impact.,We value students who show leadership potential and dedication to human-computer interaction.,True,True,False,False,1343.99,True,2
SCH_000037,Nigeria Computer Science Scholarship,"[""thailand"", ""new_zealand"", ""usa"", ""switzerland"", ""indonesia"", ""south_africa"", ""sweden""]",15,20,"[""high_school"", ""bachelors""]","[""science""]","[""computer_science"", ""medicine""]",private_a,65.8,59.0,"[{""test_type"": ""hsk"", ""min_score"": 60, ""is_mandatory"": true}]",False,very_low,nigeria,africa,"{""academic"": 0.2914, ""leadership"": 0.1192, ""olympiad"": 0.2384, ""extracurricular"": 0.1656, ""essay"": 0.1854}",,False,We seek to support outstanding students in computer_science who demonstrate commitment to innovation.,We value students who show leadership potential and dedication to financial technology.,True,False,True,False,1872.2,False,2
SCH_000038,South Africa Social Sciences Scholarship,"[""germany"", ""argentina"", ""kenya"", ""thailand"", ""sweden"", ""vietnam""]",17,21,"[""high_school"", ""bachelors""]","[""religion""]","[""social_sciences"", ""physics""]",private_a,72.6,59.7,"[{""test_type"": ""ielts"", ""min_score"": 7.7, ""is_mandatory"": true}]",False,low,south_africa,africa,"{""academic"": 0.3196, ""leadership"": 0.1649, ""olympiad"": 0.2165, ""extracurricular"": 0.2165, ""essay"": 0.0825}",academic,False,Our mission is to empower talented individuals from Africa pursuing excellence in social_sciences.,We are looking for candidates with strong academic records and proven research experience.,False,True,True,False,399.23,False,2
SCH_000039,Australia Physics Scholarship,"[""usa"", ""morocco"", ""new_zealand"", ""indonesia"", ""argentina"", ""south_korea"", ""egypt""]",17,20,"[""high_school"", ""bachelors""]","[""languages""]","[""physics""]",excellence,55.8,73.3,"[{""test_type"": ""jlpt"", ""min_score"": 40, ""is_mandatory"": true}]",False,upper_middle,australia,oceania,"{""academic"": 0.3802, ""leadership"": 0.1653, ""olympiad"": 0.2231, ""extracurricular"": 0.0744, ""essay"": 0.157}",,False,We seek to support outstanding students in physics who demonstrate commitment to innovation.,Ideal candidates demonstrate excellence in physics and commitment to community service.,False,False,False,False,1262.32,False,0
SCH_000040,Australia Agriculture Scholarship,"[""canada"", ""indonesia"", ""india"", ""kenya""]",15,20,"[""high_school"", ""bachelors""]","[""science"", ""vocational""]","[""agriculture"", ""social_sciences"", ""computer_science"", ""chemistry""]",public_a,73.7,59.3,"[{""test_type"": ""ielts"", ""min_score"": 7.9, ""is_mandatory"": true}]",False,middle,australia,oceania,"{""academic"": 0.2258, ""leadership"": 0.2151, ""olympiad"": 0.1935, ""extracurricular"": 0.2151, ""essay"": 0.1505}",,False,We seek to support outstanding students in agriculture who demonstrate commitment to knowledge advancement.,Ideal candidates demonstrate excellence in agriculture and commitment to technological advancement.,True,False,True,True,1749.13,False,3
SCH_000041,Japan Agriculture Scholarship,"[""argentina"", ""south_korea"", ""south_africa""]",17,22,"[""high_school""]","[""vocational""]","[""agriculture"", ""biology""]",accredited_b,55.1,54.6,"[{""test_type"": ""toefl"", ""min_score"": 96.8, ""is_mandatory"": true}]",True,low,japan,asia,"{""academic"": 0.4234, ""leadership"": 0.0541, ""olympiad"": 0.1712, ""extracurricular"": 0.1261, ""essay"": 0.2252}",entrepreneurship,False,This scholarship aims to nurture future leaders in agriculture with a passion for financial technology.,Ideal candidates demonstrate excellence in agriculture and commitment to technological advancement.,True,False,False,False,1438.52,False,1
SCH_000042,Canada Biology Scholarship,"[""japan"", ""germany""]",17,20,"[""high_school""]","[""social_studies""]","[""biology"", ""engineering"", ""education"", ""business""]",public_a,79.8,76.1,"[{""test_type"": ""ielts"", ""min_score"": 7.9, ""is_mandatory"": true}]",False,upper_middle,canada,north_america,"{""academic"": 0.2316, ""leadership"": 0.0632, ""olympiad"": 0.3579, ""extracurricular"": 0.2421, ""essay"": 0.1053}",academic,True,This scholarship aims to nurture future leaders in biology with a passion for human-computer interaction.,We value students who show leadership potential and dedication to human-computer interaction.,True,True,True,False,473.58,True,3
